DATE,DJIA
11/4/2011,11983.24
11/11/2011,12153.68
11/18/2011,11796.16
11/25/2011,11231.78
12/2/2011,12019.42
12/9/2011,12184.26
12/16/2011,11866.39
12/23/2011,12294
12/30/2011,12217.56
1/6/2012,12359.92
1/13/2012,12422.06
1/20/2012,12720.48
1/27/2012,12660.46
2/3/2012,12862.23
2/10/2012,12801.23
2/17/2012,12949.87
2/24/2012,12982.95
3/2/2012,12977.57
3/9/2012,12922.02
3/16/2012,13232.62
3/23/2012,13080.73
3/30/2012,13212.04
4/6/2012,13060.14
4/13/2012,12849.59
4/20/2012,13029.26
4/27/2012,13228.31
5/4/2012,13038.27
5/11/2012,12820.6
5/18/2012,12369.38
5/25/2012,12454.83
6/1/2012,12118.57
6/8/2012,12554.2
6/15/2012,12767.17
6/22/2012,12640.78
6/29/2012,12880.09
7/6/2012,12772.47
7/13/2012,12777.09
7/20/2012,12822.57
7/27/2012,13075.66
8/3/2012,13096.17
8/10/2012,13207.95
8/17/2012,13275.2
8/24/2012,13157.97
8/31/2012,13090.84
9/7/2012,13306.64
9/14/2012,13593.37
9/21/2012,13579.47
9/28/2012,13437.13
10/5/2012,13610.15
10/12/2012,13328.85
10/19/2012,13343.51
10/26/2012,13107.21
11/2/2012,13093.16
11/9/2012,12815.39
11/16/2012,12588.31
11/23/2012,13009.68
11/30/2012,13025.58
12/7/2012,13155.13
12/14/2012,13135.01
12/21/2012,13190.84
12/28/2012,12938.11
1/4/2013,13435.21
1/11/2013,13488.43
1/18/2013,13649.7
1/25/2013,13895.98
2/1/2013,14009.79
2/8/2013,13992.97
2/15/2013,13981.76
2/22/2013,14000.57
3/1/2013,14089.66
3/8/2013,14397.07
3/15/2013,14514.11
3/22/2013,14512.03
3/29/2013,14578.54
4/5/2013,14565.25
4/12/2013,14865.06
4/19/2013,14547.51
4/26/2013,14712.55
5/3/2013,14973.96
5/10/2013,15118.49
5/17/2013,15354.4
5/24/2013,15303.1
5/31/2013,15115.57
6/7/2013,15248.12
6/14/2013,15070.18
6/21/2013,14799.4
6/28/2013,14909.6
7/5/2013,15135.84
7/12/2013,15464.3
7/19/2013,15543.74
7/26/2013,15558.83
8/2/2013,15658.36
8/9/2013,15425.51
8/16/2013,15081.47
8/23/2013,15010.51
8/30/2013,14810.31
9/6/2013,14922.5
9/13/2013,15376.06
9/20/2013,15451.09
9/27/2013,15258.24
10/4/2013,15072.58
10/11/2013,15237.11
10/18/2013,15399.65
10/25/2013,15570.28
11/1/2013,15615.55
11/8/2013,15761.78
11/15/2013,15961.7
11/22/2013,16064.77
11/29/2013,16086.41
12/6/2013,16020.2
12/13/2013,15755.36
12/20/2013,16221.14
12/27/2013,16478.41
1/3/2014,16469.99
1/10/2014,16437.05
1/17/2014,16458.56
1/24/2014,15879.11
1/31/2014,15698.85
2/7/2014,15794.08
2/14/2014,16154.39
2/21/2014,16103.3
2/28/2014,16321.71
3/7/2014,16452.72
3/14/2014,16065.67
3/21/2014,16302.77
3/28/2014,16323.06
4/4/2014,16412.71
4/11/2014,16026.75
4/18/2014,16408.54
4/25/2014,16361.46
5/2/2014,16512.89
5/9/2014,16583.34
5/16/2014,16491.31
5/23/2014,16606.27
5/30/2014,16717.17
6/6/2014,16924.28
6/13/2014,16775.74
6/20/2014,16947.08
6/27/2014,16851.84
7/4/2014,17068.26
7/11/2014,16943.81
7/18/2014,17100.18
7/25/2014,16960.57
8/1/2014,16493.37
8/8/2014,16553.93
8/15/2014,16662.91
8/22/2014,17001.22
8/29/2014,17098.45
9/5/2014,17137.36
9/12/2014,16987.51
9/19/2014,17279.74
9/26/2014,17113.15
10/3/2014,17009.69
10/10/2014,16544.1
10/17/2014,16380.41
10/24/2014,16805.41
10/31/2014,17390.52
11/7/2014,17573.93
11/14/2014,17634.74
11/21/2014,17810.06
11/28/2014,17828.24
12/5/2014,17958.79
12/12/2014,17280.83
12/19/2014,17804.8
12/26/2014,18053.71
1/2/2015,17832.99
1/9/2015,17737.37
1/16/2015,17511.57
1/23/2015,17672.6
1/30/2015,17164.95
2/6/2015,17824.29
2/13/2015,18019.35
2/20/2015,18140.44
2/27/2015,18132.7
3/6/2015,17856.78
3/13/2015,17749.31
3/20/2015,18127.65
3/27/2015,17712.66
4/3/2015,17763.24
4/10/2015,18057.65
4/17/2015,17826.3
4/24/2015,18080.14
5/1/2015,18024.06
5/8/2015,18191.11
5/15/2015,18272.56
5/22/2015,18232.02
5/29/2015,18010.68
6/5/2015,17849.46
6/12/2015,17898.84
6/19/2015,18015.95
6/26/2015,17946.68
7/3/2015,17730.11
7/10/2015,17760.41
7/17/2015,18086.45
7/24/2015,17568.53
7/31/2015,17689.86
8/7/2015,17373.38
8/14/2015,17477.4
8/21/2015,16459.75
8/28/2015,16643.01
9/4/2015,16102.38
9/11/2015,16433.09
9/18/2015,16384.58
9/25/2015,16314.67
10/2/2015,16472.37
10/9/2015,17084.49
10/16/2015,17215.97
10/23/2015,17646.7
10/30/2015,17663.54
11/6/2015,17910.33
11/13/2015,17245.24
11/20/2015,17823.81
11/27/2015,17798.49
12/4/2015,17847.63
12/11/2015,17265.21
12/18/2015,17128.55
12/25/2015,17552.17
1/1/2016,17425.03
1/8/2016,16346.45
1/15/2016,15988.08
1/22/2016,16093.51
1/29/2016,16466.3
2/5/2016,16204.97
2/12/2016,15973.84
2/19/2016,16391.99
2/26/2016,16639.97
3/4/2016,17006.77
3/11/2016,17213.31
3/18/2016,17602.3
3/25/2016,17515.73
4/1/2016,17792.75
4/8/2016,17576.96
4/15/2016,17897.46
4/22/2016,18003.75
4/29/2016,17773.64
5/6/2016,17740.63
5/13/2016,17535.32
5/20/2016,17500.94
5/27/2016,17873.22
6/3/2016,17807.06
6/10/2016,17865.34
6/17/2016,17675.16
6/24/2016,17400.75
7/1/2016,17949.37
7/8/2016,18146.74
7/15/2016,18516.55
7/22/2016,18570.85
7/29/2016,18432.24
8/5/2016,18543.53
8/12/2016,18576.47
8/19/2016,18552.57
8/26/2016,18395.4
9/2/2016,18491.96
9/9/2016,18085.45
9/16/2016,18123.8
9/23/2016,18261.45
9/30/2016,18308.15
10/7/2016,18240.49
10/14/2016,18138.38
10/21/2016,18145.71
10/28/2016,18161.19
11/4/2016,17888.28
11/11/2016,18847.66
11/18/2016,18867.93
11/25/2016,19152.14
12/2/2016,19170.42
12/9/2016,19756.85
12/16/2016,19843.41
12/23/2016,19933.81
12/30/2016,19762.6
1/6/2017,19963.8
1/13/2017,19885.73
1/20/2017,19827.25
1/27/2017,20093.78
2/3/2017,20071.46
2/10/2017,20269.37
2/17/2017,20624.05
2/24/2017,20821.76
3/3/2017,21005.71
3/10/2017,20902.98
3/17/2017,20914.62
3/24/2017,20596.72
3/31/2017,20663.22
4/7/2017,20656.1
4/14/2017,20453.25
4/21/2017,20547.76
4/28/2017,20940.51
5/5/2017,21006.94
5/12/2017,20896.61
5/19/2017,20804.84
5/26/2017,21080.28
6/2/2017,21206.29
6/9/2017,21271.97
6/16/2017,21384.28
6/23/2017,21394.76
6/30/2017,21349.63
7/7/2017,21414.34
7/14/2017,21637.74
7/21/2017,21580.07
7/28/2017,21830.31
8/4/2017,22092.81
8/11/2017,21858.32
8/18/2017,21674.51
8/25/2017,21813.67
9/1/2017,21987.56
9/8/2017,21797.79
9/15/2017,22268.34
9/22/2017,22349.59
9/29/2017,22405.09
10/6/2017,22773.67
10/13/2017,22871.72
10/20/2017,23328.63
10/27/2017,23434.19
11/3/2017,23539.19
11/10/2017,23422.21
11/17/2017,23358.24
11/24/2017,23557.99
12/1/2017,24231.59
12/8/2017,24329.16
12/15/2017,24651.74
12/22/2017,24754.06
12/29/2017,24719.22
1/5/2018,25295.87
1/12/2018,25803.19
1/19/2018,26071.72
1/26/2018,26616.71
2/2/2018,25520.96
2/9/2018,24190.9
2/16/2018,25219.38
2/23/2018,25309.99
3/2/2018,24538.06
3/9/2018,25335.74
3/16/2018,24946.51
3/23/2018,23533.2
3/30/2018,24103.11
4/6/2018,23932.76
4/13/2018,24360.14
4/20/2018,24462.94
4/27/2018,24311.19
5/4/2018,24262.51
5/11/2018,24831.17
5/18/2018,24715.09
5/25/2018,24753.09
6/1/2018,24635.21
6/8/2018,25316.53
6/15/2018,25090.48
6/22/2018,24580.89
6/29/2018,24271.41
7/6/2018,24456.48
7/13/2018,25019.41
7/20/2018,25058.12
7/27/2018,25451.06
8/3/2018,25462.58
8/10/2018,25313.14
8/17/2018,25669.32
8/24/2018,25790.35
8/31/2018,25964.82
9/7/2018,25916.54
9/14/2018,26154.67
9/21/2018,26743.5
9/28/2018,26458.31
10/5/2018,26447.05
10/12/2018,25339.99
10/19/2018,25444.34
10/26/2018,24688.31
11/2/2018,25270.83
11/9/2018,25989.3
11/16/2018,25413.22
11/23/2018,24285.95
11/30/2018,25538.46
12/7/2018,24388.95
12/14/2018,24100.51
12/21/2018,22445.37
12/28/2018,23062.4
1/4/2019,23433.16
1/11/2019,23995.95
1/18/2019,24706.35
1/25/2019,24737.2
2/1/2019,25063.89
2/8/2019,25106.33
2/15/2019,25883.25
2/22/2019,26031.81
3/1/2019,26026.32
3/8/2019,25450.24
3/15/2019,25848.87
3/22/2019,25502.32
3/29/2019,25928.68
4/5/2019,26424.99
4/12/2019,26412.3
4/19/2019,26559.54
4/26/2019,26543.33
5/3/2019,26504.95
5/10/2019,25942.37
5/17/2019,25764
5/24/2019,25585.69
5/31/2019,24815.04
6/7/2019,25983.94
6/14/2019,26089.61
6/21/2019,26719.13
6/28/2019,26599.96
7/5/2019,26922.12
7/12/2019,27332.03
7/19/2019,27154.2
7/26/2019,27192.45
8/2/2019,26485.01
8/9/2019,26287.44
8/16/2019,25886.01
8/23/2019,25628.9
8/30/2019,26403.28
9/6/2019,26797.46
9/13/2019,27219.52
9/20/2019,26935.07
9/27/2019,26820.25
10/4/2019,26573.72
10/11/2019,26816.59
10/18/2019,26770.2
10/25/2019,26958.06
11/1/2019,27347.36
11/8/2019,27681.24
11/15/2019,28004.89
11/22/2019,27875.62
11/29/2019,28051.41
12/6/2019,28015.06
12/13/2019,28135.38
12/20/2019,28455.09
12/27/2019,28645.26
1/3/2020,28634.88
1/10/2020,28823.77
1/17/2020,29348.1
1/24/2020,28989.73
1/31/2020,28256.03
2/7/2020,29102.51
2/14/2020,29398.08
2/21/2020,28992.41
2/28/2020,25409.36
3/6/2020,25864.78
3/13/2020,23185.62
3/20/2020,19173.98
3/27/2020,21636.78
4/3/2020,21052.53
4/10/2020,23719.37
4/17/2020,24242.49
4/24/2020,23775.27
5/1/2020,23723.69
5/8/2020,24331.32
5/15/2020,23685.42
5/22/2020,24465.16
5/29/2020,25383.11
6/5/2020,27110.98
6/12/2020,25605.54
6/19/2020,25871.46
6/26/2020,25015.55
7/3/2020,25827.36
7/10/2020,26075.3
7/17/2020,26671.95
7/24/2020,26469.89
7/31/2020,26428.32
8/7/2020,27433.48
8/14/2020,27931.02
8/21/2020,27930.33
8/28/2020,28653.87
9/4/2020,28133.31
9/11/2020,27665.64
9/18/2020,27657.42
9/25/2020,27173.96
10/2/2020,27682.81
10/9/2020,28586.9
10/16/2020,28606.31
10/23/2020,28335.57
10/30/2020,26501.6
11/6/2020,28323.4
11/13/2020,29479.81
11/20/2020,29263.48
11/27/2020,29910.37
12/4/2020,30218.26
12/11/2020,30046.37
12/18/2020,30179.05
12/25/2020,30199.87
1/1/2021,30606.48
1/8/2021,31097.97
1/15/2021,30814.26
1/22/2021,30996.98
1/29/2021,29982.62
2/5/2021,31148.24
2/12/2021,31458.4
2/19/2021,31494.32
2/26/2021,30932.37
3/5/2021,31496.3
3/12/2021,32778.64
3/19/2021,32627.97
3/26/2021,33072.88
4/2/2021,33153.21
4/9/2021,33800.6
4/16/2021,34200.67
4/23/2021,34043.49
4/30/2021,33874.85
5/7/2021,34777.76
5/14/2021,34382.13
5/21/2021,34207.84
5/28/2021,34529.45
6/4/2021,34756.39
6/11/2021,34479.6
6/18/2021,33290.08
6/25/2021,34433.84
7/2/2021,34786.35
7/9/2021,34870.16
7/16/2021,34687.85
7/23/2021,35061.55
7/30/2021,34935.47
8/6/2021,35208.51
8/13/2021,35515.38
8/20/2021,35120.08
8/27/2021,35455.8
9/3/2021,35369.09
9/10/2021,34607.72
9/17/2021,34584.88
9/24/2021,34798
10/1/2021,34326.46
10/8/2021,34746.25
10/15/2021,35294.76
10/22/2021,35677.02
